序号,平台,问题时间,上线时间,注册资本(万元),地区,事件类型
491,惠融投资,Mar-17,Apr-14,2000,重庆,停业
492,添添投,Mar-17,Oct-14,10000,山东,停业
493,玩儿家理财,Mar-17,Jan-16,1000,北京,提现困难
494,众悦普惠,Mar-17,Dec-16,30,天津,转型
495,亿好金服,Mar-17,Nov-16,5000,浙江,提现困难
496,铅笔小鑫,Mar-17,Apr-15,1000,广东,停业
497,文玥贷,Mar-17,Aug-15,1200,安徽,提现困难
498,中融金服,Mar-17,Nov-14,10000,广东,停业
499,鼎兴财富,Mar-17,Feb-16,2000,浙江,停业
500,融利贷,Mar-17,Sep-15,500,广东,停业
501,融微金融,Mar-17,Apr-15,10000,湖北,停业
502,金鲤在线,Mar-17,Aug-16,100,吉林,停业
503,金贸街,Mar-17,Sep-15,1000,浙江,停业
504,四联财富,Mar-17,Jul-15,1000,内蒙古,停业
505,惠金金服,Mar-17,Mar-16,3000,浙江,停业
506,点投网,Mar-17,Apr-15,5000,广东,停业
507,德旺鑫,Mar-17,Jul-15,3000,山东,停业
508,启迪金,Mar-17,Apr-14,3000,上海,停业
509,隆祥金融,Mar-17,Sep-16,10000,河南,停业
510,岱宗会,Mar-17,Nov-14,1000,山东,停业
511,满满金服,Mar-17,Sep-16,1000,浙江,停业
512,万得贷,Mar-17,Nov-15,5000,北京,停业
513,塞上贷,Mar-17,Oct-14,5000,宁夏,停业
514,微投天下,Mar-17,Aug-14,1000,北京,停业
515,黔业金融,Mar-17,Jun-16,2000,广东,停业
516,金财富,Mar-17,Feb-15,1000,河南,停业
517,网通网贷,Mar-17,Aug-15,10000,广东,停业
518,天下通,Mar-17,Feb-15,10000,山东,停业
519,黄经贷,Mar-17,Mar-16,5000,湖北,停业
520,鼎鲁班,Mar-17,Dec-15,2000,广东,停业
521,中富国帮,Mar-17,Feb-15,5000,上海,停业
522,家园贷（湘）,Mar-17,Dec-14,1000,湖南,停业
523,桂银联,Mar-17,Jan-15,10000,广西,停业
524,吉强贷,Mar-17,Nov-14,2000,河北,停业
525,钱海湾金融,Feb-17,Dec-14,5000,广东,提现困难
526,恒贷网,Feb-17,Nov-16,5000,北京,跑路
527,骑士贷,Feb-17,Sep-14,1500,北京,停业
528,来财街,Feb-17,Oct-14,10000,上海,跑路
529,金品创投,Feb-17,May-15,5000,湖南,停业
530,景腾金融,Feb-17,Dec-16,5000,浙江,停业
531,天脉投资,Feb-17,Jun-14,100,广东,停业
532,浙联储,Feb-17,May-14,1500,浙江,跑路
533,信天贷,Feb-17,Sep-15,1000,安徽,提现困难
534,八融宝,Feb-17,Sep-14,5000,广东,停业
535,家家聚财,Feb-17,May-14,3000,山东,停业
536,融金汇,Feb-17,Jan-15,10000,广东,停业
537,e投贷,Feb-17,Oct-14,3000,山东,停业
538,贝贷金服,Feb-17,Aug-16,2000,河北,跑路
539,丰收贷理财,Feb-17,Jan-15,1000,福建,停业
540,乐行理财,Feb-17,Aug-16,1000,北京,提现困难
541,安平贷,Feb-17,Dec-14,5000,广东,停业
542,潞商e贷,Feb-17,Jan-15,1000,山西,停业
543,亿诺信投,Feb-17,Apr-15,1100,山东,停业
544,你投我融,Feb-17,Dec-15,1000,广东,提现困难
545,3000财富,Feb-17,Apr-15,1000,山东,停业
546,惠易通金融,Feb-17,Aug-16,10000,广东,提现困难
547,板桥贷,Feb-17,Aug-15,1080,江苏,停业
548,时代财富,Feb-17,Aug-15,5000,广东,转型
549,银鑫源,Feb-17,Apr-15,3000,广东,停业
550,千百亿金融,Feb-17,Jul-15,3000,广东,停业
551,北城贷,Feb-17,Jan-14,10000,北京,停业
552,e路财富,Feb-17,Jun-15,3000,江苏,停业
553,大业贷,Feb-17,Nov-14,1000,福建,停业
554,本倍财富,Feb-17,Sep-15,10000,广东,停业
555,黑蚁在线,Feb-17,Sep-16,1000,云南,转型
556,盛益贷,Feb-17,Jul-16,5000,浙江,停业
557,玖信贷,Feb-17,Nov-13,10000,北京,停业
558,宝沃金融,Feb-17,May-15,500,江西,停业
559,同诚信,Feb-17,Jun-13,2000,河北,转型
560,宝利源,Feb-17,Jan-16,3000,福建,停业
561,17聚财,Feb-17,Dec-15,5000,上海,停业
562,创跃财富,Feb-17,Jun-16,66000,上海,停业
563,金亿投资,Feb-17,Aug-16,2000,山东,停业
564,海汇网贷,Feb-17,Jun-15,0,广东,停业
565,E湘资本,Feb-17,May-15,2000,湖南,停业
566,756金融网,Feb-17,Aug-14,100,浙江,停业
567,润合金融,Feb-17,Sep-15,15000,广东,停业
568,互联贷,Feb-17,Jun-14,1000,宁夏,停业
569,百年贷,Feb-17,Oct-14,1000,湖南,停业
570,e人e贷,Feb-17,May-14,5000,广东,提现困难
571,全资本,Feb-17,Jul-14,11380,北京,停业
572,穿山甲金服,Feb-17,Feb-16,10000,上海,停业
573,随心金融,Feb-17,Apr-15,3600,安徽,停业
574,蓝金所,Feb-17,Sep-15,5000,广东,提现困难
575,百年e贷,Feb-17,Nov-15,5000,上海,停业
576,好享投,Feb-17,Jun-15,1000,江苏,停业
577,非常易贷,Feb-17,Jul-14,20000,黑龙江,停业
578,钱罐儿理财,Feb-17,May-16,1000,北京,提现困难
579,云贷网,Jan-17,Nov-12,1000,广西,停业
580,路路通,Jan-17,Jun-15,3000,江苏,停业
581,财帮易贷,Jan-17,Dec-14,0,陕西,停业
582,一元网,Jan-17,Nov-15,2000,广东,停业
583,联合众创,Jan-17,Nov-15,3000,浙江,停业
584,富爸爸金融,Jan-17,Jul-16,5000,北京,停业
585,中融恒信,Jan-17,Jul-16,3000,福建,停业
586,厚铺街,Jan-17,Apr-15,1000,重庆,停业
587,卡融网,Jan-17,Jul-16,2000,四川,停业
588,365创投,Jan-17,Dec-13,1000,山东,停业
589,牛气贷,Jan-17,Jul-15,5000,上海,停业
590,火牛财富,Jan-17,Jul-15,10000,北京,提现困难
591,老微贷,Jan-17,Jul-16,1000,江苏,提现困难
592,信融创投,Jan-17,Nov-16,1000,山东,跑路
593,联诺财富,Jan-17,Mar-16,3000,陕西,停业
594,金拍当,Jan-17,Aug-15,5000,福建,停业
595,中星财行,Jan-17,Jul-16,10000,浙江,提现困难
596,理财团,Jan-17,Dec-14,10000,北京,提现困难
597,好易投,Jan-17,Oct-15,18700,江苏,提现困难
598,万财金服,Jan-17,Dec-16,3000,浙江,提现困难
599,多利宝,Jan-17,Aug-14,500,北京,停业
600,稳银在线,Jan-17,Jun-16,5000,广东,提现困难
601,君享金融,Jan-17,Jun-16,10000,浙江,提现困难
602,友金贷,Jan-17,Jul-15,1000,江西,提现困难
603,满满贷,Jan-17,Jan-13,5000,湖南,提现困难
604,妥妥贷,Jan-17,May-16,5001,四川,提现困难
605,同江金融,Jan-17,Jan-13,3000,北京,提现困难
606,源海金服,Jan-17,Sep-16,10000,广东,提现困难
607,创利投,Jan-17,Jan-15,5000,北京,提现困难
608,唯存信理财,Jan-17,Aug-15,5000,北京,停业
609,睿银财富,Jan-17,Nov-13,1000,山东,提现困难
610,宝典创投,Jan-17,Sep-13,3000,江苏,跑路
611,金喜网,Jan-17,Jul-16,20000,上海,提现困难
612,小宝金服,Jan-17,Jun-15,19000,广东,提现困难
613,微贷通,Jan-17,Nov-13,10180,广东,跑路
614,商荣网,Jan-17,Apr-15,11800,北京,跑路
615,珠宝e贷,Jan-17,Nov-15,5000,北京,提现困难
616,拓米金融,Jan-17,Jun-16,10000,江苏,提现困难
617,奕诚金融,Jan-17,Apr-14,1000,广东,停业
618,来财宝,Jan-17,Sep-16,1000,上海,停业
619,优舸普惠,Jan-17,Jul-16,8900,上海,停业
620,聪明投,Jan-17,Jul-16,1000,北京,提现困难
621,果投金融,Jan-17,Dec-14,3000,上海,停业
622,龙江易贷,Jan-17,Jan-15,500,黑龙江,停业
623,便捷惠通,Jan-17,Mar-15,10600,山东,停业
624,易小贷,Jan-17,Sep-14,100,山东,停业
625,程诺金服,Jan-17,Aug-16,5000,上海,停业
626,易融通,Jan-17,Aug-15,5000,广东,停业
627,淘金聚宝,Jan-17,Apr-16,2000,湖南,停业
628,全支宝,Jan-17,Nov-15,1000,广东,跑路
629,遇财网,Jan-17,Apr-15,1000,广东,转型
630,米牛网,Jan-17,Sep-14,137,浙江,停业
631,珠宝盒子,Jan-17,Aug-15,5000,山东,转型
632,满元金富,Jan-17,Apr-15,10000,上海,停业
633,涌金所,Jan-17,Jul-16,8800,上海,停业
634,e路贷,Jan-17,Jun-15,10000,北京,停业
635,招财e贷,Jan-17,Aug-16,6000,浙江,停业
636,恒通金服,Jan-17,Nov-16,1000,广东,跑路
637,尚峨金融,Jan-17,Jun-16,5000,上海,停业
638,粟米理财,Jan-17,Jun-13,5000,上海,提现困难
639,泰牛网,Jan-17,Jul-16,5000,上海,提现困难
640,钱程在线,Jan-17,Jul-14,3000,广东,跑路
641,乾东宝,Jan-17,Jul-16,5000,浙江,停业
